time,"P(B1|X3)","P(B1|X6)","P(B2|X6)"
3.220000e-11,4.519173e-01,1.305940e-03,1.331396e-03
3.240000e-11,4.550448e-01,1.308881e-03,1.334414e-03
3.260000e-11,4.581770e-01,1.311805e-03,1.337414e-03
3.280000e-11,4.613140e-01,1.314713e-03,1.340394e-03
3.300000e-11,4.644558e-01,1.317607e-03,1.343352e-03
3.320000e-11,4.676026e-01,1.320488e-03,1.346289e-03
3.340000e-11,4.707542e-01,1.323356e-03,1.349207e-03
3.360000e-11,4.739109e-01,1.326214e-03,1.352107e-03
3.380000e-11,4.770726e-01,1.329061e-03,1.354991e-03
3.400000e-11,4.802393e-01,1.331897e-03,1.357864e-03
3.420000e-11,4.834112e-01,1.334722e-03,1.360729e-03
3.440000e-11,4.865883e-01,1.337535e-03,1.363586e-03
3.460000e-11,4.897706e-01,1.340336e-03,1.366438e-03
3.480000e-11,4.929582e-01,1.343125e-03,1.369285e-03
3.500000e-11,4.961512e-01,1.345903e-03,1.372127e-03
3.520000e-11,4.993495e-01,1.348671e-03,1.374962e-03
3.540000e-11,5.025532e-01,1.351428e-03,1.377788e-03
3.560000e-11,5.057624e-01,1.354177e-03,1.380604e-03
3.580000e-11,5.089772e-01,1.356919e-03,1.383409e-03
3.600000e-11,5.121975e-01,1.359655e-03,1.386203e-03
3.620000e-11,5.154235e-01,1.362386e-03,1.388985e-03
3.640000e-11,5.186553e-01,1.365113e-03,1.391758e-03
3.660000e-11,5.218928e-01,1.367836e-03,1.394523e-03
3.680000e-11,5.251361e-01,1.370556e-03,1.397282e-03
3.700000e-11,5.283853e-01,1.373272e-03,1.400038e-03
3.720000e-11,5.316404e-01,1.375985e-03,1.402793e-03
3.740000e-11,5.349016e-01,1.378694e-03,1.405548e-03
3.760000e-11,5.381688e-01,1.381399e-03,1.408305e-03
3.780000e-11,5.414422e-01,1.384100e-03,1.411063e-03
3.800000e-11,5.447217e-01,1.386797e-03,1.413822e-03
3.820000e-11,5.480075e-01,1.389492e-03,1.416581e-03
3.840000e-11,5.512996e-01,1.392186e-03,1.419339e-03
3.860000e-11,5.545981e-01,1.394878e-03,1.422094e-03
3.880000e-11,5.579031e-01,1.397572e-03,1.424846e-03
3.900000e-11,5.612145e-01,1.400266e-03,1.427595e-03
3.920000e-11,5.645326e-01,1.402964e-03,1.430342e-03
3.940000e-11,5.678573e-01,1.405664e-03,1.433087e-03
3.960000e-11,5.711887e-01,1.408367e-03,1.435834e-03
3.980000e-11,5.745269e-01,1.411074e-03,1.438582e-03
4.000000e-11,5.778720e-01,1.413784e-03,1.441336e-03
4.020000e-11,5.812240e-01,1.416497e-03,1.444095e-03
4.040000e-11,5.845831e-01,1.419214e-03,1.446862e-03
4.060000e-11,5.879492e-01,1.421933e-03,1.449636e-03
4.080000e-11,5.913226e-01,1.424657e-03,1.452417e-03
4.100000e-11,5.947031e-01,1.427384e-03,1.455206e-03
4.120000e-11,5.980910e-01,1.430117e-03,1.458001e-03
