time,"P(B0|X4)","P(B1|X3)","P(B1|X4)","P(B2|X4)","P(B0|X6)","P(B1|X6)","P(B2|X6)"
3.250000e-11,3.672925e-04,4.566103e-01,1.490642e-02,1.519768e-02,3.227590e-05,1.310345e-03,1.335916e-03
3.300000e-11,3.686165e-04,4.644558e-01,1.498700e-02,1.527923e-02,3.247796e-05,1.317607e-03,1.343352e-03
3.350000e-11,3.701999e-04,4.723319e-01,1.506671e-02,1.536003e-02,3.263040e-05,1.324787e-03,1.350659e-03
3.400000e-11,3.723650e-04,4.802393e-01,1.514535e-02,1.544032e-02,3.275928e-05,1.331897e-03,1.357864e-03
3.450000e-11,3.748063e-04,4.881788e-01,1.522308e-02,1.552007e-02,3.291031e-05,1.338937e-03,1.365013e-03
3.500000e-11,3.769560e-04,4.961512e-01,1.530028e-02,1.559912e-02,3.310149e-05,1.345903e-03,1.372127e-03
3.550000e-11,3.785783e-04,5.041571e-01,1.537729e-02,1.567748e-02,3.330760e-05,1.352804e-03,1.379197e-03
3.600000e-11,3.799771e-04,5.121975e-01,1.545413e-02,1.575535e-02,3.348938e-05,1.359655e-03,1.386203e-03
3.650000e-11,3.816448e-04,5.202733e-01,1.553062e-02,1.583304e-02,3.363434e-05,1.366475e-03,1.393141e-03
3.700000e-11,3.837546e-04,5.283853e-01,1.560666e-02,1.591071e-02,3.376721e-05,1.373272e-03,1.400038e-03
3.750000e-11,3.860184e-04,5.365344e-01,1.568241e-02,1.598833e-02,3.392218e-05,1.380047e-03,1.406926e-03
3.800000e-11,3.880194e-04,5.447217e-01,1.575819e-02,1.606580e-02,3.410795e-05,1.386797e-03,1.413822e-03
3.850000e-11,3.896432e-04,5.529481e-01,1.583424e-02,1.614317e-02,3.430135e-05,1.393532e-03,1.420717e-03
3.900000e-11,3.911661e-04,5.612145e-01,1.591056e-02,1.622063e-02,3.447347e-05,1.400266e-03,1.427595e-03
3.950000e-11,3.929456e-04,5.695221e-01,1.598703e-02,1.629841e-02,3.461939e-05,1.407015e-03,1.434460e-03
4.000000e-11,3.950566e-04,5.778720e-01,1.606360e-02,1.637664e-02,3.476122e-05,1.413784e-03,1.441336e-03
4.050000e-11,3.972450e-04,5.862653e-01,1.614044e-02,1.645528e-02,3.492383e-05,1.420573e-03,1.448248e-03
4.100000e-11,3.992136e-04,5.947031e-01,1.621783e-02,1.653431e-02,3.510981e-05,1.427384e-03,1.455206e-03
4.150000e-11,4.009256e-04,6.031867e-01,1.629593e-02,1.661377e-02,3.529894e-05,1.434226e-03,1.462203e-03
4.200000e-11,4.026196e-04,6.117174e-01,1.637473e-02,1.669385e-02,3.547062e-05,1.441113e-03,1.469231e-03
4.250000e-11,4.045476e-04,6.202963e-01,1.645417e-02,1.677475e-02,3.562474e-05,1.448057e-03,1.476297e-03
4.300000e-11,4.067239e-04,6.289250e-01,1.653426e-02,1.685656e-02,3.578024e-05,1.455063e-03,1.483421e-03
4.350000e-11,4.089342e-04,6.376048e-01,1.661517e-02,1.693928e-02,3.595467e-05,1.462132e-03,1.490624e-03
4.400000e-11,4.109735e-04,6.463372e-01,1.669711e-02,1.702288e-02,3.614685e-05,1.469268e-03,1.497913e-03
4.450000e-11,4.128522e-04,6.551237e-01,1.678022e-02,1.710748e-02,3.633985e-05,1.476482e-03,1.505283e-03
4.500000e-11,4.147681e-04,6.639658e-01,1.686452e-02,1.719324e-02,3.651951e-05,1.483784e-03,1.512732e-03
4.550000e-11,4.168935e-04,6.728653e-01,1.694996e-02,1.728032e-02,3.668859e-05,1.491188e-03,1.520268e-03
4.600000e-11,4.192077e-04,6.818239e-01,1.703662e-02,1.736882e-02,3.686277e-05,1.498697e-03,1.527911e-03
4.650000e-11,4.215373e-04,6.908433e-01,1.712465e-02,1.745874e-02,3.705399e-05,1.506315e-03,1.535677e-03
