time,"P(B5|X9)","P(B1|X9)","P(B3|X9)","P(B2|X11)","P(B1|X12)"
2.480000e-11,6.670874e-01,-1.157666e-01,4.747269e-01,7.790351e-01,7.777699e-01
2.500000e-11,6.658619e-01,-1.154806e-01,4.741672e-01,7.776806e-01,7.771214e-01
2.520000e-11,6.649964e-01,-1.153052e-01,4.738142e-01,7.767423e-01,7.766783e-01
2.540000e-11,6.644975e-01,-1.152342e-01,4.736656e-01,7.762189e-01,7.764355e-01
2.560000e-11,6.643579e-01,-1.152554e-01,4.737134e-01,7.760903e-01,7.763797e-01
2.580000e-11,6.645581e-01,-1.153525e-01,4.739448e-01,7.763209e-01,7.764910e-01
2.600000e-11,6.650669e-01,-1.155076e-01,4.743421e-01,7.768627e-01,7.767448e-01
2.620000e-11,6.658439e-01,-1.157026e-01,4.748838e-01,7.776587e-01,7.771145e-01
2.640000e-11,6.668412e-01,-1.159212e-01,4.755447e-01,7.786467e-01,7.775724e-01
2.660000e-11,6.680060e-01,-1.161500e-01,4.762972e-01,7.797628e-01,7.780913e-01
2.680000e-11,6.692831e-01,-1.163790e-01,4.771123e-01,7.809443e-01,7.786457e-01
2.700000e-11,6.706179e-01,-1.166020e-01,4.779607e-01,7.821325e-01,7.792123e-01
2.720000e-11,6.719589e-01,-1.168164e-01,4.788140e-01,7.832751e-01,7.797707e-01
2.740000e-11,6.732602e-01,-1.170219e-01,4.796458e-01,7.843280e-01,7.803037e-01
2.760000e-11,6.744841e-01,-1.172204e-01,4.804334e-01,7.852559e-01,7.807972e-01
2.780000e-11,6.756020e-01,-1.174147e-01,4.811583e-01,7.860334e-01,7.812404e-01
2.800000e-11,6.765965e-01,-1.176076e-01,4.818070e-01,7.866446e-01,7.816255e-01
2.820000e-11,6.774611e-01,-1.178017e-01,4.823722e-01,7.870829e-01,7.819474e-01
2.840000e-11,6.782005e-01,-1.179987e-01,4.828524e-01,7.873502e-01,7.822035e-01
2.860000e-11,6.788299e-01,-1.181992e-01,4.832521e-01,7.874556e-01,7.823938e-01
2.880000e-11,6.793737e-01,-1.184035e-01,4.835820e-01,7.874142e-01,7.825198e-01
2.900000e-11,6.798642e-01,-1.186116e-01,4.838577e-01,7.872457e-01,7.825851e-01
2.920000e-11,6.803399e-01,-1.188239e-01,4.840996e-01,7.869729e-01,7.825944e-01
2.940000e-11,6.808436e-01,-1.190419e-01,4.843320e-01,7.866202e-01,7.825538e-01
2.960000e-11,6.814209e-01,-1.192685e-01,4.845822e-01,7.862124e-01,7.824700e-01
2.980000e-11,6.821185e-01,-1.195090e-01,4.848793e-01,7.857735e-01,7.823507e-01
3.000000e-11,6.829837e-01,-1.197710e-01,4.852542e-01,7.853258e-01,7.822036e-01
3.020000e-11,6.840633e-01,-1.200645e-01,4.857383e-01,7.848892e-01,7.820369e-01
3.040000e-11,6.854035e-01,-1.204019e-01,4.863634e-01,7.844803e-01,7.818585e-01
3.060000e-11,6.870502e-01,-1.207974e-01,4.871609e-01,7.841127e-01,7.816761e-01
3.080000e-11,6.890498e-01,-1.212673e-01,4.881625e-01,7.837965e-01,7.814969e-01
3.100000e-11,6.914500e-01,-1.218286e-01,4.893996e-01,7.835381e-01,7.813273e-01
3.120000e-11,6.943017e-01,-1.224995e-01,4.909039e-01,7.833411e-01,7.811729e-01
3.140000e-11,6.976597e-01,-1.232985e-01,4.927081e-01,7.832059e-01,7.810383e-01
3.160000e-11,7.015852e-01,-1.242448e-01,4.948463e-01,7.831305e-01,7.809268e-01
3.180000e-11,7.061465e-01,-1.253578e-01,4.973552e-01,7.831108e-01,7.808409e-01
3.200000e-11,7.114207e-01,-1.266580e-01,5.002753e-01,7.831410e-01,7.807818e-01
3.220000e-11,7.174951e-01,-1.281670e-01,5.036520e-01,7.832143e-01,7.807493e-01
